Variables;Importance
results_flawfinder_warning_buffer-realpath;-0.0451
results_flawfinder_error_buffer-lstrcpyA;-0.0400
results_flawfinder_note_format-snprintf;-0.0390
results_flawfinder_error_shell-ShellExecute;-0.0376
results_flawfinder_error_buffer-gets;-0.0365
results_flawfinder_note_obsolete-usleep;-0.0364
results_flawfinder_note_buffer-wcsncpy;-0.0362
results_flawfinder_note_integer-_wtoi;-0.0358
results_flawfinder_error_buffer-strcpyW;-0.0355
results_flawfinder_error_format-syslog;-0.0347
results_flawfinder_error_format-_snprintf;-0.0341
results_flawfinder_error_buffer-wcscat;-0.0328
results_flawfinder_note_format-vsprintf;-0.0326
results_flawfinder_error_shell-execv;-0.0318
results_flawfinder_note_buffer-TCHAR;-0.0314
results_flawfinder_error_buffer-lstrcpyW;-0.0308
results_flawfinder_note_buffer-strlen;-0.0308
results_flawfinder_error_format-fwprintf;-0.0298
results_flawfinder_note_format-fprintf;-0.0296
results_flawfinder_note_buffer-wcslen;-0.0295
results_flawfinder_error_buffer-wcscpy;-0.0292
results_flawfinder_note_misc-fopen;-0.0286
results_flawfinder_note_format-_snprintf;-0.0284
results_flawfinder_note_buffer-scanf;-0.0280
results_flawfinder_error_race-chown;-0.0264
results_flawfinder_note_format-swprintf;-0.0261
results_flawfinder_note_buffer-sprintf;-0.0259
results_flawfinder_warning_misc-chroot;-0.0250
results_flawfinder_error_buffer-lstrcatA;-0.0249
results_flawfinder_error_race-readlink;-0.0247
results_flawfinder_warning_tmpfile-tmpnam;-0.0246
results_flawfinder_note_input-fread;-0.0245
results_flawfinder_warning_random-srandom;-0.0245
results_flawfinder_note_buffer-fscanf;-0.0243
results_flawfinder_error_buffer-vwscanf;-0.0236
results_flawfinder_note_buffer-swprintf;-0.0232
results_flawfinder_error_format-printf;-0.0231
results_flawfinder_error_format-vfprintf;-0.0231
results_flawfinder_note_buffer-read;-0.0228
results_flawfinder_note_buffer-_tcscat;-0.0227
results_flawfinder_note_buffer-wcsncat;-0.0226
results_flawfinder_error_format-sprintf;-0.0225
results_flawfinder_note_format-fwprintf;-0.0224
results_flawfinder_note_buffer-getchar;-0.0222
results_flawfinder_error_buffer-lstrcpynW;-0.0209
results_flawfinder_error_crypto-crypt;-0.0208
results_flawfinder_error_buffer-StrCpyNA;-0.0207
results_flawfinder_note_buffer-CopyMemory;-0.0207
results_flawfinder_note_access-umask;-0.0206
results_flawfinder_error_buffer-scanf;-0.0205
results_flawfinder_error_buffer-vfwscanf;-0.0202
results_flawfinder_note_integer-atoi;-0.0201
results_flawfinder_error_tmpfile-mktemp;-0.0189
results_flawfinder_note_buffer-equal;-0.0188
results_flawfinder_error_format-vswprintf;-0.0184
results_flawfinder_error_race-chmod;-0.0182
results_flawfinder_note_input-recvfrom;-0.0180
results_flawfinder_note_buffer-strcpy;-0.0179
results_flawfinder_error_buffer-vsprintf;-0.0177
results_flawfinder_note_buffer-strncpy;-0.0174
results_flawfinder_error_buffer-MultiByteToWideChar;-0.0171
results_flawfinder_error_format-vprintf;-0.0167
results_flawfinder_error_shell-popen;-0.0166
results_flawfinder_note_tmpfile-mkstemp;-0.0164
results_flawfinder_note_format-syslog;-0.0162
results_flawfinder_error_shell-WinExec;-0.0161
results_flawfinder_error_buffer-StrCatBuffW;-0.0159
results_flawfinder_note_buffer-wcscpy;-0.0157
results_flawfinder_note_format-vfprintf;-0.0156
results_flawfinder_error_buffer-StrCatA;-0.0153
results_flawfinder_note_format-_sntprintf;-0.0153
results_flawfinder_note_buffer-_tcslen;-0.0153
results_flawfinder_error_buffer-StrCpyA;-0.0153
results_flawfinder_note_buffer-char;-0.0151
results_flawfinder_error_buffer-_tcscpy;-0.0147
results_flawfinder_note_buffer-wcscat;-0.0143
results_flawfinder_error_buffer-StrCatChainW;-0.0140
results_flawfinder_note_buffer-_tcsncpy;-0.0138
results_flawfinder_error_buffer-_tcscat;-0.0135
results_flawfinder_note_buffer-mismatch;-0.0134
results_flawfinder_warning_buffer-getenv;-0.0134
results_flawfinder_error_buffer-sprintf;-0.0128
results_flawfinder_error_format-wprintf;-0.0124
results_flawfinder_error_buffer-strcpy;-0.0123
results_flawfinder_note_input-recv;-0.0117
results_flawfinder_note_format-vprintf;-0.0116
results_flawfinder_note_buffer-sscanf;-0.0115
results_flawfinder_error_access-ImpersonateSecurityContext;-0.0112
results_flawfinder_warning_random-setstate;-0.0106
results_flawfinder_error_race-access;-0.0094
results_flawfinder_note_format-printf;-0.0093
results_flawfinder_note_tmpfile-tmpfile;-0.0093
results_flawfinder_note_buffer-memcpy;-0.0093
results_flawfinder_warning_buffer-getopt_long;-0.0092
results_flawfinder_error_buffer-lstrcatW;-0.0091
results_flawfinder_note_format-wprintf;-0.0088
results_flawfinder_error_buffer-lstrcpy;-0.0082
results_flawfinder_warning_misc-LoadLibraryEx;-0.0082
results_flawfinder_error_buffer-lstrcat;-0.0081
results_flawfinder_warning_misc-AddAccessAllowedAce;-0.0081
results_flawfinder_note_buffer-lstrcpyn;-0.0081
results_flawfinder_warning_shell-CreateProcessAsUser;-0.0081
results_flawfinder_error_access-ImpersonateLoggedOnUser;-0.0081
results_flawfinder_error_format-snprintf;-0.0079
results_flawfinder_note_format-vsnprintf;-0.0077
results_flawfinder_note_format-sprintf;-0.0070
results_flawfinder_note_buffer-MultiByteToWideChar;-0.0068
results_flawfinder_note_buffer-getc;-0.0067
results_flawfinder_warning_buffer-getopt;-0.0066
results_flawfinder_error_shell-system;-0.0063
results_flawfinder_error_buffer-swprintf;-0.0062
results_flawfinder_error_format-fprintf;-0.0061
results_flawfinder_error_buffer-sscanf;-0.0060
results_flawfinder_error_format-swprintf;-0.0057
results_flawfinder_warning_tmpfile-GetTempFileName;-0.0056
results_flawfinder_note_misc-open;-0.0054
results_flawfinder_warning_random-random;-0.0052
results_flawfinder_error_access-RpcImpersonateClient;-0.0049
results_flawfinder_note_buffer-fgetc;-0.0047
results_flawfinder_error_format-vsnprintf;-0.0040
results_flawfinder_error_format-vsprintf;-0.0039
results_flawfinder_note_buffer-strncat;-0.0038
results_flawfinder_error_shell-execl;-0.0028
results_flawfinder_warning_random-srand;-0.0027
results_flawfinder_warning_misc-InitializeCriticalSection;-0.0013
results_flawfinder_note_buffer-wchar_t;-0.0007
results_flawfinder_note_integer-atol;-0.0000
results_flawfinder_warning_shell-CreateProcess;0.0003
results_flawfinder_error_shell-execlp;0.0005
results_flawfinder_error_misc-SetSecurityDescriptorDacl;0.0005
results_flawfinder_note_input-readv;0.0005
results_flawfinder_error_buffer-lstrcpynA;0.0007
results_flawfinder_error_buffer-vsscanf;0.0015
results_flawfinder_error_buffer-strcat;0.0017
results_flawfinder_error_buffer-fscanf;0.0027
results_flawfinder_warning_misc-LoadLibrary;0.0053
results_flawfinder_note_buffer-strcat;0.0055
